"product_id","name","brand","item_number","price","barcode","quantity_in_stock","unit_size","description","expiry_date","taxable","stock_bought","stock_sold","stock_expired","price_per_unit","category_id","status","previous_category_id"
332,"ALIGN PROBIOTIC CAPS 14","Align","95431","27.99","56100078722",8,"14 ct","","2027-10-31",True,8,0,0,"16.58",140,True,NULL
229,"ROBITUSSIN XST MUCUS&PHLEGM 250ML","robitussin","759183","21.99","62107473002",2,"250 ML","",NULL,True,2,0,0,"13.80",140,True,NULL
1715,"ALIGN SUPPLEMENT PROBIOTIC CAPS 42","align Probiotic","65457","62.99","56100076155",4,"42 cap","",NULL,True,6,2,0,"38.68",140,True,NULL
1502,"ALIGN ADVANCED PROBIOTIC SUPPLEMENT CAPS 21","Align","128845","39.99","56100080602",5,"21 Caps","",NULL,True,5,0,0,"24.87",140,True,NULL
2231,"MAGNESIUM + D3 500MG CAPS 60 JAM","","1411111","16.99","064642074768",1,"60 CPT","","2027-09-30",True,2,1,0,"12.16",140,True,NULL
2239,"DEXIDIN 4 PUMP 450ML ATL","","70359","11.99","068625180149",3,"450mL","","2028-05-30",True,3,0,0,"7.41",140,True,NULL
2249,"FLORASTOR DAILY CAPS 20","Generic","1414111","27.99","704142000842",1,"20 VEG. CAP","","2027-02-28",True,1,0,0,"16.55",140,True,NULL
2240,"OPTION+ IODINE 5% 25ML","Generic","14111","5.99","771290017459",4,"25mL","","2027-07-30",True,4,0,0,"2.63",140,False,NULL
2244,"OPTION+ IODINE 2.5% 25ML","Generic","44141","4.99","771290017473",3,"25mL","","2028-08-30",True,3,0,0,"2.44",140,True,NULL
2245,"PEDIALYTE UNFLAVORED 1000ML","Generic","14112","12.99","055325806264",5,"1 L","","2027-08-01",True,5,0,0,"8.13",140,True,NULL
2247,"OPTION+ WATER BABY WIPES 64","Generic","111311","2.99","771290038218",2,"64 Wipes","",NULL,True,2,0,0,"1.96",140,True,NULL
2243,"MACA & GINSENG VEGET CAPS 500/200MG 150 WEBBER","Generic","1918","34.99","625273036992",3,"150 VEG. CAP","","2029-06-30",True,3,0,0,"21.11",140,True,NULL
2238,"B&L SOOTHE MOISTURE EYES ARTIFICIAL TEARS 15ML","Generic","2242370","5.99","010119021223",4,"15ml","","2027-10-31",True,4,0,0,"3.87",140,True,NULL
